id,name,type,area,description,image1,image2,image3,website,phone,address,amenities,featured,slug,authorName,publishedDate,modifiedDate,directionsLink
144,Rapunzel’s Coffee & Books,Coffee Shops,Lovingston,"Eclectic arts venue, used bookstore, and coffee shop that hosts live music three nights a week and pours Nelson County beer, wine, and cider in a living-room-style space with free Wi-Fi.",https://nelsoncounty.com/wp-content/uploads/2021/11/Rapunzels-Coffee-Books-S.jpg,,,https://www.rapunzelscoffeeandbooks.org/,(434) 263-6660,"956 Front Street, Lovingston, VA 22949",Retail; Live Music; Wi-Fi; Beer; Cider; Wine; Local Ingredients; Coffee; Tea,TRUE,rapunzels-coffee-books,josh,2021-11-14,2024-06-13,https://www.google.com/maps/dir/?api=1&destination=956%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
566,Sweet Bliss Bakery,Coffee Shops,Nellysford,"Handcrafts cheesecakes, cakes, and pastries with local seasonal ingredients, plus Virginia’s Finest soups and a specialty quiche made fresh daily.",https://nelsoncounty.com/wp-content/uploads/2024/05/Sweet-Bliss-Bakery.jpg,,,https://www.facebook.com/thecheesecakelady123/,(434) 465-6776,"2789 Rockfish Valley Highway, Nellysford, VA 22958",Local Ingredients; Seasonal Menu; Coffee; Tea; Cafe,FALSE,sweet-bliss-bakery,josh,2024-05-16,2024-06-12,https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
572,Terrace Café,Coffee Shops,Wintergreen Resort,"Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.",https://nelsoncounty.com/wp-content/uploads/2024/05/terrace-cafe.jpg,,,https://www.wintergreenresort.com/terrace-cafe/,(434) 325-8080,"39 Mountain Inn Loop, Wintergreen, VA 22958",Breakfast; Desserts; Seasonal Menu; Coffee; Tea; Cafe,FALSE,terrace-cafe-at-wintergreen-resort,josh,2024-05-16,2024-05-16,https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
580,Trager Brothers Coffee 1.0,Coffee Shops,Lovingston,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-1.0.jpg,,,https://www.tbcroasters.com/,(434) 996-3138,"486 Front Street, Lovingston, VA 22949",Coffee; Organic; Order Pickup; Tea; Cafe,TRUE,trager-brothers-coffee-1-0,josh,2024-05-16,2025-07-04,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
583,Trager Brothers Coffee 2.0,Coffee Shops,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.",https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-2.0.jpg,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",Coffee; Organic; Bar; Tea; Cafe,FALSE,trager-brothers-coffee-2-0,josh,2024-05-16,2025-07-04,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920
595,Afton Market,Markets & Delis,Afton,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.",https://nelsoncounty.com/wp-content/uploads/2024/05/afton-market.jpg,,,https://nelsoncounty.com/explore/afton-market/,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA 22920",Retail; Fuel; Breakfast; Deli; Coffee; Tea; Lunch; Market,FALSE,afton-market,josh,2024-05-16,2024-06-12,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
599,Ashley’s Market,Markets & Delis,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.",https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market-1.jpg,https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market.jpg,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",Fuel; Breakfast; Deli; Lunch; Market,FALSE,ashleys-market,josh,2024-05-16,2024-06-13,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
604,Chicken Coop,Markets & Delis,Lovingston,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.",https://nelsoncounty.com/wp-content/uploads/2024/05/chicken-coop.jpg,,,https://nelsoncounty.com/explore/chicken-coop/,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",BBQ; Retail; Full Kitchen; Market; Deli,FALSE,chicken-coop,josh,2024-05-16,2024-06-12,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
607,Colleen Deli,Markets & Delis,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.",https://nelsoncounty.com/wp-content/uploads/2024/05/colleen-deli.jpg,,,https://nelsoncounty.com/explore/colleen-deli/,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,FALSE,colleen-deli,josh,2024-05-17,2024-06-13,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922
610,Corner Market,Markets & Delis,Schuyler,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,https://nelsoncounty.com/wp-content/uploads/2024/05/corner-market.jpg,,,https://nelsoncounty.com/explore/corner-market/,(434) 263-5500,"11309 James River Road, Shipman, VA 22971",Retail; Fuel; Breakfast; Deli; Lunch; Market,FALSE,corner-market,josh,2024-05-17,2024-06-13,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971
