ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Project Categories","Project Attributes",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
144,"Rapunzel’s Coffee & Books",,,2021-11-14,portfolio,https://nelsoncounty.com/explore/rapunzels-coffee-books/,https://nelsoncounty.com/wp-content/uploads/2021/11/Rapunzels-Coffee-Books-S.jpg,"Rapunzel’s Coffee & Books",,,"Rapunzel’s Coffee & Books",https://nelsoncounty.com/wp-content/uploads/2021/11/Rapunzels-Coffee-Books-S.jpg,,"All (Taste)>Coffee Shops|Road Trips>Lovingston|Road Trips>Nelson 29",,publish,1,josh,iamjwal@gmail.com,,,rapunzels-coffee-books,,,0,0,0,open,closed,2024-06-13
566,"Sweet Bliss Bakery",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/sweet-bliss-bakery/,https://nelsoncounty.com/wp-content/uploads/2024/05/Sweet-Bliss-Bakery.jpg,"Sweet Bliss Bakery",,,"Sweet Bliss Bakery",https://nelsoncounty.com/wp-content/uploads/2024/05/Sweet-Bliss-Bakery.jpg,,"All (Taste)>Coffee Shops|Road Trips>Nellysford|All (Taste)>Sweet Treats",,publish,1,josh,iamjwal@gmail.com,,,sweet-bliss-bakery,,,0,0,0,open,closed,2024-06-12
572,"Terrace Café",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/terrace-cafe-at-wintergreen-resort/,https://nelsoncounty.com/wp-content/uploads/2024/05/terrace-cafe.jpg,terrace-cafe,,,"Terrace Cafe",https://nelsoncounty.com/wp-content/uploads/2024/05/terrace-cafe.jpg,,"All (Taste)>Coffee Shops",,publish,1,josh,iamjwal@gmail.com,,,terrace-cafe-at-wintergreen-resort,,,0,0,0,open,closed,2024-05-16
580,"Trager Brothers Coffee 1.0",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/trager-brothers-coffee-1-0/,https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-1.0.jpg,"Trager Brothers Coffee 1.0",,,"Trager Brothers Coffee 1.0",https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-1.0.jpg,,"All (Taste)>Coffee Shops|All (Shopping)>Lovingston|Road Trips>Lovingston",,publish,1,josh,iamjwal@gmail.com,,,trager-brothers-coffee-1-0,,,0,0,0,closed,closed,2025-07-04
583,"Trager Brothers Coffee 2.0",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/trager-brothers-coffee-2-0/,https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-2.0.jpg,"Trager Brothers Coffee 2.0",,,"Trager Brothers Coffee 2.0",https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-2.0.jpg,,"All (Shopping)>Afton|Road Trips>Afton|All (Taste)>Coffee Shops",,publish,1,josh,iamjwal@gmail.com,,,trager-brothers-coffee-2-0,,,0,0,0,closed,closed,2025-07-04
595,"Afton Market",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/afton-market/,https://nelsoncounty.com/wp-content/uploads/2024/05/afton-market.jpg,afton-market,,,"Afton Market",https://nelsoncounty.com/wp-content/uploads/2024/05/afton-market.jpg,,"Road Trips>Afton|All (Taste)>Markets &amp; Delis",,publish,1,josh,iamjwal@gmail.com,,,afton-market,,,0,0,0,open,closed,2024-06-12
599,"Ashley’s Market",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/ashleys-market/,https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market-1.jpg|https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market.jpg,"Ashley’s Market|Ashley’s Market",|,|,"Ashley’s Market|Ashley’s Market",https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market-1.jpg,,"Road Trips>Afton|All (Taste)>Markets &amp; Delis",,publish,1,josh,iamjwal@gmail.com,,,ashleys-market,,,0,0,0,open,closed,2024-06-13
604,"Chicken Coop",,,2024-05-16,portfolio,https://nelsoncounty.com/explore/chicken-coop/,https://nelsoncounty.com/wp-content/uploads/2024/05/chicken-coop.jpg,chicken-coop,,,"Chicken Coop",https://nelsoncounty.com/wp-content/uploads/2024/05/chicken-coop.jpg,,"Road Trips>Lovingston|All (Taste)>Markets &amp; Delis",,publish,1,josh,iamjwal@gmail.com,,,chicken-coop,,,0,0,0,open,closed,2024-06-12
607,"Colleen Deli",,,2024-05-17,portfolio,https://nelsoncounty.com/explore/colleen-deli/,https://nelsoncounty.com/wp-content/uploads/2024/05/colleen-deli.jpg,colleen-deli,,,"Colleen Deli",https://nelsoncounty.com/wp-content/uploads/2024/05/colleen-deli.jpg,,"Road Trips>Arrington|All (Taste)>Markets &amp; Delis",,publish,1,josh,iamjwal@gmail.com,,,colleen-deli,,,0,0,0,open,closed,2024-06-13
610,"Corner Market",,,2024-05-17,portfolio,https://nelsoncounty.com/explore/corner-market/,https://nelsoncounty.com/wp-content/uploads/2024/05/corner-market.jpg,corner-market,,,"The Corner Market",https://nelsoncounty.com/wp-content/uploads/2024/05/corner-market.jpg,,"All (Taste)>Markets &amp; Delis|Road Trips>Schuyler",,publish,1,josh,iamjwal@gmail.com,,,corner-market,,,0,0,0,open,closed,2024-06-13
