id,name,type,area,description,image1,image2,image3,website,phone,address,amenities,featured,slug,authorName,publishedDate,modifiedDate,status,directionsLink,detailedDescription,externalWebsite
144,Rapunzel’s Coffee & Books,Coffee Shops,Lovingston,"Eclectic arts venue, used bookstore, and coffee shop that hosts live music three nights a week and pours Nelson County beer, wine, and cider in a living-room-style space with free Wi-Fi.",https://ik.imagekit.io/OE/nelson-county/Rapunzels-Coffee-Books-S.jpg,,,https://www.rapunzelscoffeeandbooks.org/,(434) 263-6660,"956 Front Street, Lovingston, VA 22949",Retail; Live Music; Wi-Fi; Beer; Cider; Wine; Local Ingredients; Coffee; Tea,TRUE,rapunzels-coffee-books,josh,2021-11-14,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=956%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,"Rapunzel's Coffee and Books is an eclectic arts venue, community space, coffee shop, and used bookstore located in The Packing Shed in historic Lovingston, Virginia. Rapunzel's Further Ado Foundation hosts live music every Wednesday, Friday, and Saturday evenings starting at 8pm. Rapunzel's is a listening-room, living-room-style environment. Come get comfortable with a good book and a cup of coffee or tea, and settle in for an evening of music on the couch of your choice. We have free wi-fi and serve only Nelson County local brews (wine, beer, and, cider).",https://www.rapunzelscoffeeandbooks.org/
566,Sweet Bliss Bakery,Coffee Shops,Nellysford,"Handcrafts cheesecakes, cakes, and pastries with local seasonal ingredients, plus Virginia’s Finest soups and a specialty quiche made fresh daily.",https://ik.imagekit.io/OE/nelson-county/Sweet-Bliss-Bakery.jpg,,,https://www.facebook.com/thecheesecakelady123/,(434) 465-6776,"2789 Rockfish Valley Highway, Nellysford, VA 22958",Local Ingredients; Seasonal Menu; Coffee; Tea; Cafe,FALSE,sweet-bliss-bakery,josh,2024-05-16,2024-06-12,publish,https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Our desserts are lovingly handcrafted from the finest ingredients. We love supporting our local farmers, and offer seasonal desserts so they are at their peak of freshness. We are passionate about creating fresh, decadent desserts, and seeing our clients smile. Our specialty are cheesecakes and cakes. We have over 50 flavors, and are always creating new flavors. We take our time to bake the highest quality desserts and hand- decorate each creation, so no two are alike. Many of our cakes are infused with liqueurs to enhance their natural flavors, decorated with nuts, candies, fresh fruits and a variety of chocolates. In addition to cheesecakes and cakes, we offer a full-line menu of pastry items such as pies, scones, muffins, cookies, brownies, blondies, cream puffs, eclairs and other scrumptious desserts. Our desserts carry the Virginia's Finest label to ensure the finest quality possible. They are never frozen, and contain no preservatives, additives or fillers. Offering a homemade soup of the day and a specialty quiche of the day.",https://www.facebook.com/thecheesecakelady123/
572,Terrace Café,Coffee Shops,Wintergreen Resort,"Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.",https://ik.imagekit.io/OE/nelson-county/terrace-cafe.jpg,,,https://www.wintergreenresort.com/terrace-cafe/,(434) 325-8080,"39 Mountain Inn Loop, Wintergreen, VA 22958",Breakfast; Desserts; Seasonal Menu; Coffee; Tea; Cafe,FALSE,terrace-cafe-at-wintergreen-resort,josh,2024-05-16,2024-05-16,publish,https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,"Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.",https://www.wintergreenresort.com/terrace-cafe/
580,Trager Brothers Coffee 1.0,Coffee Shops,Lovingston,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,https://ik.imagekit.io/OE/nelson-county/Trager-Brothers-Coffee-1.0.jpg,,,https://www.tbcroasters.com/,(434) 996-3138,"486 Front Street, Lovingston, VA 22949",Coffee; Organic; Order Pickup; Tea; Cafe,TRUE,trager-brothers-coffee-1-0,josh,2024-05-16,2025-07-04,publish,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,https://www.tbcroasters.com/
583,Trager Brothers Coffee 2.0,Coffee Shops,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.",https://ik.imagekit.io/OE/nelson-county/Trager-Brothers-Coffee-2.0.jpg,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",Coffee; Organic; Bar; Tea; Cafe,FALSE,trager-brothers-coffee-2-0,josh,2024-05-16,2025-07-04,publish,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.",https://www.tbcroasters.com/
595,Afton Market,Markets & Delis,Afton,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.",https://ik.imagekit.io/OE/nelson-county/afton-market.jpg,,,https://nelsoncounty.com/explore/afton-market/,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA 22920",Retail; Fuel; Breakfast; Deli; Coffee; Tea; Lunch; Market,FALSE,afton-market,josh,2024-05-16,2024-06-12,publish,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.",
599,Ashley’s Market,Markets & Delis,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.",https://ik.imagekit.io/OE/nelson-county/Ashleys-Market-1.jpg,https://ik.imagekit.io/OE/nelson-county/Ashleys-Market.jpg,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",Fuel; Breakfast; Deli; Lunch; Market,FALSE,ashleys-market,josh,2024-05-16,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.",https://www.facebook.com/ashleysmaket151/
604,Chicken Coop,Markets & Delis,Lovingston,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.",https://ik.imagekit.io/OE/nelson-county/chicken-coop.jpg,,,https://nelsoncounty.com/explore/chicken-coop/,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",BBQ; Retail; Full Kitchen; Market; Deli,FALSE,chicken-coop,josh,2024-05-16,2024-06-12,publish,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.",
607,Colleen Deli,Markets & Delis,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.",https://ik.imagekit.io/OE/nelson-county/colleen-deli.jpg,,,https://nelsoncounty.com/explore/colleen-deli/,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,FALSE,colleen-deli,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.",
610,Corner Market,Markets & Delis,Schuyler,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,https://ik.imagekit.io/OE/nelson-county/corner-market.jpg,,,https://nelsoncounty.com/explore/corner-market/,(434) 263-5500,"11309 James River Road, Shipman, VA 22971",Retail; Fuel; Breakfast; Deli; Lunch; Market,FALSE,corner-market,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,
614,Graves Grocery & Deli,Markets & Delis,Nellysford,"Local grocery, gas, and deli stop with breakfast and lunch service for travelers along Route 151.",https://ik.imagekit.io/OE/nelson-county/Graves-Grocery-Deli.jpg,,,https://nelsoncounty.com/explore/graves-grocery-deli/,(434) 361-2504,"1779 Rockfish Valley Highway, Nellysford, VA 22958",Retail; Fuel; Breakfast; Lunch; Deli; Market,FALSE,graves-grocery-deli,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Local grocery, gas, and deli stop with breakfast and lunch service for travelers along Route 151.",
617,Hickman’s Exxon Grocery,Markets & Delis,Roseland,"Exxon convenience store with breakfast and lunch deli, full game checking station, and hunting supplies.",https://ik.imagekit.io/OE/nelson-county/Hickmans-Exxon-Grocery.jpg,,,https://nelsoncounty.com/explore/hickmans-exxon-grocery/,(434) 361-1205,"1311 Beech Grove Road, Roseland, VA 22967",Fuel; Breakfast; Lunch; Deli; Hunting; Market,FALSE,hickmans-exxon-grocery,josh,2024-05-17,2024-05-17,publish,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,"Exxon convenience store with breakfast and lunch deli, full game checking station, and hunting supplies.",
620,IGA Blue Ridge Grocery,Markets & Delis,Nellysford,"Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.",https://ik.imagekit.io/OE/nelson-county/IGA-Blue-Ridge-Grocery.jpg,,,https://nelsoncounty.com/explore/iga-blue-ridge-grocery/,(434) 361-1105,"2797 Rockfish Valley Highway, Nellysford, VA 22958",Grocery; Market; Local Ingredients; Curbside Pickup; Parking; Deli,FALSE,iga-blue-ridge-grocery,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.",
623,Ike’s Market & Deli,Markets & Delis,Schuyler,"Riverside convenience store and deli featuring hot menu specials, grab-and-go items, and a game checking station.",https://ik.imagekit.io/OE/nelson-county/Ikes-Market-Deli.jpg,,,https://nelsoncounty.com/explore/ikes-market-deli/,(434) 831-1185,"6597 Rockfish River Road, Schuyler, VA 22969",Retail; Deli; Hunting; Market,TRUE,ikes-market-deli,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969,"Riverside convenience store and deli featuring hot menu specials, grab-and-go items, and a game checking station.",
628,Indian Oven,Markets & Delis,Lovingston,"Family-run Indian restaurant serving curries, tandoori favorites, and coconut-forward dishes crafted with fresh ingredients in a welcoming setting.",https://ik.imagekit.io/OE/nelson-county/indian-oven.jpg,,,https://nelsoncounty.com/explore/indian-oven/,(434) 263-4080,"10749 Thomas Nelson Hwy, Lovingston, VA 22949",Takeout; Family Friendly; Market; Deli,FALSE,indian-oven,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,"Family-run Indian restaurant serving curries, tandoori favorites, and coconut-forward dishes crafted with fresh ingredients in a welcoming setting.",
632,Mac’s Country Store,Markets & Delis,Roseland,"Country store at the crossroads of Routes 151 and 56 with breakfast, lunch, dinner plates, famous fried chicken, and antiques for sale.",https://ik.imagekit.io/OE/nelson-county/Macs-Country-Store-1.jpg,https://ik.imagekit.io/OE/nelson-county/Macs-Country-Store.jpg,https://ik.imagekit.io/OE/nelson-county/Shadys-Place.jpg,https://nelsoncounty.com/explore/macs-country-store/,(434) 277-5305,"7023 Patrick Henry Highway, Roseland, VA 22967",Breakfast; Lunch; Dinner; Takeout; Market; Deli,FALSE,macs-country-store,josh,2024-05-17,2024-05-17,publish,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967,"Country store at the crossroads of Routes 151 and 56 with breakfast, lunch, dinner plates, famous fried chicken, and antiques for sale.",
639,Subway,Markets & Delis,Lovingston,"Subway franchise in Annie Land Plaza making customizable sandwiches, salads, and wraps seven days a week.",https://ik.imagekit.io/OE/nelson-county/subway-1.jpg,https://ik.imagekit.io/OE/nelson-county/subway.jpg,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,(434) 263-6800,"65 Callohill Drive, Lovingston, VA 22949",Deli; Market,FALSE,subway,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,"Subway franchise in Annie Land Plaza making customizable sandwiches, salads, and wraps seven days a week.",https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive
643,The Market at Wintergreen,Markets & Delis,Wintergreen Resort,"Wintergreen Resort’s convenience market offering groceries, deli meals, branded apparel, and fuel for mountain guests.",https://ik.imagekit.io/OE/nelson-county/The-Market-at-Wintergreen.jpg,,,https://nelsoncounty.com/explore/the-market-at-wintergreen/,(434) 325-8224,"189 Mountain Inn Loop, Wintergreen, VA 22958",Deli; Resort; Fuel; Market,FALSE,the-market-at-wintergreen,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,"Wintergreen Resort’s convenience market offering groceries, deli meals, branded apparel, and fuel for mountain guests.",
646,Williams Grocery,Markets & Delis,Schuyler,"Rural grocery and gas station carrying local honey, bait, and fishing supplies alongside everyday essentials.",https://ik.imagekit.io/OE/nelson-county/Williams-Grocery.jpg,,,https://nelsoncounty.com/explore/williams-grocery/,(434) 263-4746,"439 Williamstown Road, Shipman, VA 22971",Retail; Fuel; Local Ingredients; Market; Deli; Water Sports,FALSE,williams-grocery,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,"Rural grocery and gas station carrying local honey, bait, and fishing supplies alongside everyday essentials.",
649,Ann’s Family Restaurant,Restaurants,Arrington,Ann’s Family Restaurant serves classic country cooking with daily specials and fresh vegetables for dine-in comfort in Arrington.,https://ik.imagekit.io/OE/nelson-county/Anns-Family-Restaurant.jpg,,,https://nelsoncounty.com/explore/anns-family-restaurant/,(434) 263-8110,"1170 Thomas Nelson Highway, Arrington, VA 22922",Family Friendly,FALSE,anns-family-restaurant,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922,Ann’s Family Restaurant serves classic country cooking with daily specials and fresh vegetables for dine-in comfort in Arrington.,
