id,name,type,area,description,image1,image2,imageGallery,website,phone,address,amenities,amenities_tags,featured,slug,wordpressUrl,authorName,authorEmail,authorUsername,authorId,publishedDate,modifiedDate,status,commentStatus,pingStatus,originalCategories,originalAttributes,dataConfidence,notes,descriptionSource,amenitiesGuessed,missingFields,directionsLink
144,Rapunzel’s Coffee & Books,Coffee Shops,Lovingston,"Eclectic arts venue, used bookstore, and coffee shop that hosts live music three nights a week and pours Nelson County beer, wine, and cider in a living-room-style space with free Wi-Fi.",https://nelsoncounty.com/wp-content/uploads/2021/11/Rapunzels-Coffee-Books-S.jpg,,,https://www.rapunzelscoffeeandbooks.org/,(434) 263-6660,"956 Front Street, Lovingston, VA 22949",Used Bookstore; Live Music Weekly; Free Wi-Fi; Local Beer Wine & Cider,Books & Gifts; Retail Shop; Live Music; Free Wi-Fi; Wine Tastings; Craft Beer; Hard Cider; Coffee & Tea,FALSE,rapunzels-coffee-books,https://nelsoncounty.com/explore/rapunzels-coffee-books/,josh,iamjwal@gmail.com,josh,1,2021-11-14,2024-06-13,publish,open,closed,All (Taste)>Coffee Shops; Road Trips>Lovingston; Road Trips>Nelson 29,,high,Official venue site lists 956 Front Street; county listing shows 924.,,,,https://www.google.com/maps/dir/?api=1&destination=956%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
566,Sweet Bliss Bakery,Coffee Shops,Nellysford,"Handcrafts cheesecakes, cakes, and pastries with local seasonal ingredients, plus Virginia’s Finest soups and a specialty quiche made fresh daily.",https://nelsoncounty.com/wp-content/uploads/2024/05/Sweet-Bliss-Bakery.jpg,,,https://www.facebook.com/thecheesecakelady123/,(434) 465-6776,"2789 Rockfish Valley Highway, Nellysford, VA 22958",Handcrafted Desserts; Seasonal Local Ingredients; Soup of The Day; Specialty Quiche,Coffee & Tea; Desserts; Cafe,FALSE,sweet-bliss-bakery,https://nelsoncounty.com/explore/sweet-bliss-bakery/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2024-06-12,publish,open,closed,All (Taste)>Coffee Shops; Road Trips>Nellysford; All (Taste)>Sweet Treats,,high,Primary web presence is a Facebook page; hours not published online.,,,,https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
572,Terrace Café,Coffee Shops,Wintergreen Resort,"Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.",https://nelsoncounty.com/wp-content/uploads/2024/05/terrace-cafe.jpg,,,https://www.wintergreenresort.com/terrace-cafe/,(434) 325-8080,"39 Mountain Inn Loop, Wintergreen, VA 22958",Starbucks Beverages; Breakfast Sandwiches; Sweet Treats; Seasonal Hours,Breakfast Available; Desserts; Coffee & Tea; Cafe,FALSE,terrace-cafe-at-wintergreen-resort,https://nelsoncounty.com/explore/terrace-cafe-at-wintergreen-resort/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2024-05-16,publish,open,closed,All (Taste)>Coffee Shops,,high,Wintergreen Resort notes that hours change seasonally.,,,,https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
580,Trager Brothers Coffee 1.0,Coffee Shops,Lovingston,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-1.0.jpg,,,https://www.tbcroasters.com/,(434) 996-3138,"486 Front Street, Lovingston, VA 22949",Certified Organic Coffee; Ethically Sourced Beans; Order Pickup; Coffee Club,Coffee & Tea; Cafe,FALSE,trager-brothers-coffee-1-0,https://nelsoncounty.com/explore/trager-brothers-coffee-1-0/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2025-07-04,publish,closed,closed,All (Taste)>Coffee Shops; All (Shopping)>Lovingston; Road Trips>Lovingston,,medium,Official site lists phone 434-996-3138 for Lovingston; county page lists 434-263-8916.,,,,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
583,Trager Brothers Coffee 2.0,Coffee Shops,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.",https://nelsoncounty.com/wp-content/uploads/2024/05/Trager-Brothers-Coffee-2.0.jpg,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",Certified Organic Coffee; Coffee Club; Espresso Bar & Pour Overs; Espresso Drinks,Coffee & Tea; Cafe,FALSE,trager-brothers-coffee-2-0,https://nelsoncounty.com/explore/trager-brothers-coffee-2-0/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2025-07-04,publish,closed,closed,All (Shopping)>Afton; Road Trips>Afton; All (Taste)>Coffee Shops,,medium,TBC site shows ZIP 22902 for this location; county listing uses 22920.,,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920
595,Afton Market,Markets & Delis,Afton,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.",https://nelsoncounty.com/wp-content/uploads/2024/05/afton-market.jpg,,,https://nelsoncounty.com/explore/afton-market/,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA 22920",Convenience Store; Gas Station; Breakfast Deli; Fried Chicken Specials,Retail Shop; Fuel; Breakfast Available; Deli; Coffee & Tea; Lunch Available; Market,FALSE,afton-market,https://nelsoncounty.com/explore/afton-market/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2024-06-12,publish,open,closed,Road Trips>Afton; All (Taste)>Markets & Delis,,high,Details sourced from Nelson County Tourism listing; no standalone website published.,,,,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
599,Ashley’s Market,Markets & Delis,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.",https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market-1.jpg,https://nelsoncounty.com/wp-content/uploads/2024/05/Ashleys-Market.jpg,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",Gas Station; Breakfast Deli; Fried Chicken; Subs & Salads,Fuel; Breakfast Available; Deli; Lunch Available; Market,FALSE,ashleys-market,https://nelsoncounty.com/explore/ashleys-market/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2024-06-13,publish,open,closed,Road Trips>Afton; All (Taste)>Markets & Delis,,medium,Facebook page used for current hours and specials.,,,,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
604,Chicken Coop,Markets & Delis,Lovingston,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.",https://nelsoncounty.com/wp-content/uploads/2024/05/chicken-coop.jpg,,,https://nelsoncounty.com/explore/chicken-coop/,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",Fried Chicken; BBQ Plates; Burgers; Convenience Store Seating,Barbecue; Retail Shop; Full Kitchen; Market; Deli,FALSE,chicken-coop,https://nelsoncounty.com/explore/chicken-coop/,josh,iamjwal@gmail.com,josh,1,2024-05-16,2024-06-12,publish,open,closed,Road Trips>Lovingston; All (Taste)>Markets & Delis,,high,Operates from the Nelson Food Mart Exxon.,,,,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
607,Colleen Deli,Markets & Delis,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.",https://nelsoncounty.com/wp-content/uploads/2024/05/colleen-deli.jpg,,,https://nelsoncounty.com/explore/colleen-deli/,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",All-Day Breakfast; Lunch Specials; Salad Bar (seasonal); Baked Goods,Breakfast Available; Lunch Available; Bakery; Deli; Market,FALSE,colleen-deli,https://nelsoncounty.com/explore/colleen-deli/,josh,iamjwal@gmail.com,josh,1,2024-05-17,2024-06-13,publish,open,closed,Road Trips>Arrington; All (Taste)>Markets & Delis,,high,Located inside the Colleen Exxon & Convenience Mart on Rt. 29.,,,,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922
610,Corner Market,Markets & Delis,Schuyler,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,https://nelsoncounty.com/wp-content/uploads/2024/05/corner-market.jpg,,,https://nelsoncounty.com/explore/corner-market/,(434) 263-5500,"11309 James River Road, Shipman, VA 22971",Convenience Store; Gas Station; Breakfast Deli; Hot Lunch Counter,Retail Shop; Fuel; Breakfast Available; Deli; Lunch Available; Market,FALSE,corner-market,https://nelsoncounty.com/explore/corner-market/,josh,iamjwal@gmail.com,josh,1,2024-05-17,2024-06-13,publish,open,closed,All (Taste)>Markets & Delis; Road Trips>Schuyler,,high,Menu and contact pulled from Nelson County Tourism summary.,,,,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971
